ID,Study,Year,Title,Author(s),URL,Language,Location,Soil Type,Latitude,Longitude,Altitude,Climate,Precipitation (mm),Mean Annual Temperature (°C),Microbes ,Crop,Data Extracted,Funding,Conventional/organic/conservation,Specific Practices,Length of Experiment,Soil Level,Experiment Type,Include?,Reason,Management,Crop.Rotation,Measure of Diversity,m1i,sd1i,n1i,Unit,Measure of Abundance,Abundance,Variance
24a,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Alfisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Conventional,"Potato, winter wheat, spring barley",Shannon,4.2940925,0.5,4,SD,n/a,n/a,n/a
24a,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Alfisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.5214041,0.3,4,SD,n/a,n/a,n/a
24a,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Alfisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.3784247,0.1,4,SD,n/a,n/a,n/a
24a,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Alfisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.3330479,0.2,4,SD,n/a,n/a,n/a
24b,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Conventional,"Potato, winter wheat, spring barley",Simpson,0.9726413,0.02,4,SD,n/a,n/a,n/a
24b,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.9789411,0.008,4,SD,n/a,n/a,n/a
24b,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.975836,0.007,4,SD,n/a,n/a,n/a
24b,Bacteria,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.9751493,0.008,4,SD,n/a,n/a,n/a
24.1a,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Conventional,"Potato, winter wheat, spring barley",Shannon,4.7160433,0.5,4,SD,n/a,n/a,n/a
24.1a,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.7450787,0.5,4,SD,n/a,n/a,n/a
